city,id,pop,median,count,type,mean
Hardthausen am Kocher,125111,4094,42,0,FA,0.0
Hardthausen am Kocher,125111,4094,42,1,HA,0.24425989252564728
Hardthausen am Kocher,125111,4094,42,1,ZA,0.24425989252564728
Pfedelbach,126069,9156,45,1,FA,0.109217999126256
Pfedelbach,126069,9156,45,2,HA,0.218435998252512
Pfedelbach,126069,9156,45,3,ZA,0.327653997378768
Untereisesheim,125096,4145,43,1,FA,0.24125452352231608
Untereisesheim,125096,4145,43,0,HA,0.0
Untereisesheim,125096,4145,43,1,ZA,0.24125452352231608
Zweiflingen,126094,1673,45,0,FA,0.0
Zweiflingen,126094,1673,45,0,HA,0.0
Zweiflingen,126094,1673,45,0,ZA,0.0
